date, pm25, pm10, o3, no2, so2, co
2023/5/4, 137, 70, 17, 3, 11, 5
2023/5/5, 147, 72, 11, 3, 13, 4
2023/5/6, 148, 70, 13, 2, 9, 4
2023/5/7, 144, 68, 15, 5, 13, 6
2023/5/8, 138, 78, 18, 9, 10, 15
2023/5/9, 156, 87, 24, 27, 11, 17
2023/5/10, 165, 91, 25, 30, 16, 33
2023/5/11, 169, 81, 28, 24, 17, 29
2023/5/12, 162, 70, 21, 21, 15, 22
2023/5/13, 152, , , , , 
2023/5/16, 126, 60, 18, 15, 12, 8
2023/5/17, 126, 60, 17, 14, 9, 8
2023/5/18, 127, 55, 19, 14, 13, 7
2023/5/19, 118, , , , , 
2023/5/22, 126, 66, 17, 13, 13, 5
2023/5/23, 141, 55, 14, 13, 11, 5
2023/5/24, 115, 44, 12, 13, 12, 6
2023/5/25, 93, 45, 11, 12, 14, 4
2023/5/26, 99, 48, 12, 10, 11, 
2023/5/27, 101, 48, 15, 10, 12, 
2023/5/28, 99, 53, 17, 10, 10, 2
2023/5/29, 114, 65, 32, 10, 10, 3
2023/5/30, 135, 68, 25, 10, 12, 15
2023/5/31, 141, 62, 21, 10, 9, 7
2023/6/1, 134, 53, 14, 10, 10, 7
2023/6/2, 113, , , , , 
2023/6/6, 151, 55, 13, 11, 14, 42
2023/6/7, 118, 42, 18, 11, 13, 37
2023/6/8, 88, 35, 15, 12, 16, 41
2023/6/9, 77, 42, 14, 12, 17, 40
2023/6/10, 87, 50, 11, 12, 13, 39
2023/6/11, 103, 50, 9, 11, 14, 41
2023/6/12, 102, 46, 6, 12, 13, 39
2023/6/13, 98, 47, 3, 13, 18, 24
2023/6/14, 100, 42, 7, 10, 19, 19
2023/6/15, 89, 48, 6, 10, 13, 25
2023/6/16, 100, 50, 10, 9, 17, 29
2023/6/17, 106, 55, 9, 8, 11, 27
2023/6/18, 116, 55, 11, 8, 13, 29
2023/6/19, 118, 60, 13, 8, 10, 31
2023/6/20, 132, 58, 10, 9, 12, 19
2023/6/21, 125, 55, 9, 10, 12, 19
2023/6/22, 120, 51, 6, 9, 10, 15
2023/6/23, 108, , , , , 
2023/6/28, 114, 26, , 10, 10, 1
2023/6/29, 65, 20, , 10, 12, 1
2023/6/30, 51, 31, 2, 11, 17, 1
2023/1/2, 200, 159, 37, 18, 8, 11
2023/1/3, 225, 167, 5, 16, 13, 21
2023/1/4, 237, , , , , 
